brand,events,views,carts,purchases,users_chunk_sum,revenue,avg_price
eaton,118,117,1,0,66,0.0,108.07366666666665
ecler,17,17,0,0,14,0.0,508.9764285714286
eco,6017,5908,89,20,3366,1294.74,19.597836440276254
ecocool,15853,14956,642,255,7139,23942.83,97.34833489765029
ecocraft,5,5,0,0,4,0.0,7.080000000000001
ecolab,6176,6026,126,24,3395,126.91,4.580538858026067
ecolaboratorie,71,71,0,0,49,0.0,2.9382393162393163
ecolaboratory,40,40,0,0,25,0.0,3.839782608695652
ecolatier,37,37,0,0,32,0.0,4.1548
ecolight,1719,1663,44,12,943,147.75,14.776591575295816
ecologystone,162,156,3,3,96,199.82999999999998,67.94458269199936
ecosoft,1738,1648,74,16,675,3907.45,238.2568712111785
ecoterm,693,687,4,2,441,68.63,29.93324033593901
ecotex,18280,17710,407,163,9075,3184.44,17.14764955774417
ecs,50,50,0,0,37,0.0,71.15333333333334
edcon,922,905,11,6,470,489.08,98.14362798232094
edelform,189,186,2,1,126,115.66,143.22891029219318
edelman,2917,2902,14,1,2414,83.17,60.86143563008524
edelvejs,135,135,0,0,92,0.0,23.013348484848485
edem,30,29,1,0,25,0.0,18.663174603174603
eden,131,131,0,0,109,0.0,141.32
edge,41587,40389,678,520,23957,76085.82,136.28084717114263
edifier,10402,10191,146,65,5523,3779.8799999999997,118.9076837585103
edon,22682,21727,778,177,11057,7709.82,43.34796985538958
edox,8816,8720,71,25,3107,19738.99,819.9879396362056
educa,73,72,1,0,54,0.0,17.531875
educo,55,55,0,0,50,0.0,24.43
edufun,62336,59668,2006,662,27601,79840.54000000001,121.16356881951958
efp,173,172,1,0,134,0.0,105.69216904761905
efremov,110787,106682,2816,1289,58499,217136.63,159.12389762066493
eger,155,155,0,0,102,0.0,107.63104673784714
egg,501,501,0,0,397,0.0,539.2245002223804
egger,701,688,11,2,432,36.78,17.51529971974295
eglo,418,414,4,0,215,0.0,95.55808303841974
egmont,8,5,2,1,4,6.78,6.78
egp,33,33,0,0,25,0.0,5.07
egreat,1626,1620,4,2,1036,784.89,380.2628571428572
ehome,434,424,9,1,321,10.75,10.793504335013358
eichorn,74,74,0,0,58,0.0,64.35
einhell,18031,17683,254,94,10396,9315.6,133.02061057870617
ekel,812,762,44,6,484,27.299999999999997,4.251567549124674
ekobike,1,1,0,0,1,0.0,643.52
ekolit,21,21,0,0,11,0.0,25.565
ekonomia,222,218,4,0,144,0.0,18.136030188868798
ekpower,30,30,0,0,18,0.0,86.53529411764706
eksmo,10017,9315,561,141,5785,1477.6899999999998,8.147930027402438
elamina,1057,1028,24,5,593,93.97,32.79556239616146
elan,17657,17307,261,89,6836,23604.47,248.95823804407712
elari,218210,206510,8344,3356,105747,192209.03,55.127219194271056
elaud,1242,1228,14,0,750,0.0,14.79701796313745
elbasco,843,807,29,7,545,38.06,5.024120950864728
elco,1166,1158,0,8,723,183.28,22.91
electro-voice,7613,7452,133,28,3835,36279.44,1256.5603981829768
electrolux,270751,261023,7077,2651,106937,524449.48,425.79239327564244
electronicarts,6877,6249,466,162,4458,10818.07,71.03536095541634
electronicsdeluxe,2618,2525,60,33,1337,6163.7300000000005,201.71593186870703
elegant,3026,2970,38,18,2048,238.62,12.656821538805628
elektrostandard,1212,1185,21,6,709,319.94,48.69627111292123
element,77849,71990,4134,1725,40631,209287.81,107.19703260187613
elenberg,697626,648467,34046,15113,316059,573395.13,52.91842260381437
elf,3700,3616,60,24,1987,1218.58,100.6552796367852
elica,3485,3420,49,16,1393,3460.0299999999997,285.4915084100782
eliesaab,143,136,5,2,85,111.5,61.6640328798186
elikor,22324,21726,436,162,7912,14649.9,102.67644172072625
elite,3314,3206,79,29,2425,154.41,13.07507870185151
elitebohemia,13,13,0,0,13,0.0,738.0616666666666
elitech,616,612,3,1,357,145.72,133.93598675285668
elizavecca,13108,12676,290,142,7545,1916.77,13.579476089687194
elkitorg,1,1,0,0,1,0.0,280.27
elleci,39,39,0,0,37,0.0,263.7495
elna,11373,11075,236,62,5124,21140.72,539.9004898424238
eltempo,22595,21636,738,221,15143,17434.13,77.71461040073282
eltex,2791,2775,14,2,1737,134.88,67.1456682844289
eltreco,2626,2615,0,11,1538,7220.29,656.39
elvin,772,739,28,5,441,507.86,66.05754298731162
elysium,30231,29911,218,102,14164,1224.15,12.402948443244423
emal,2376,2340,32,4,1270,252.01999999999998,68.19053472049957
embawood,1024,1023,0,1,786,521.76,858.226082700111
embryolisse,7502,7229,206,67,3853,2185.44,40.847035638012265
emco,46,46,0,0,32,0.0,225.06
emer,1174,1165,7,2,810,797.96,398.98
emiliopucci,16,16,0,0,15,0.0,144.40538461538463
emily,1047,1043,4,0,612,0.0,518.5877990627156
emporioarmani,219,219,0,0,147,0.0,204.09268273092368
emsa,13555,13245,240,70,6173,2308.69,42.45739796327064
enchantimals,174,172,1,1,109,48.88,31.650543592436975
eneos,1666,1558,91,17,803,348.66,20.92618546490476
energenie,158,152,2,4,80,71.96,18.294181818181816
energizer,6585,6399,130,56,3144,5934.61,89.00950600836613
energolux,565,555,8,2,303,170.09,84.87969048993334
energy,788,776,12,0,507,0.0,25.93955637337207
energybodysystems,81,80,1,0,45,0.0,6.94010101010101
energysistem,655,641,10,4,441,501.37,125.50797187064144
enermax,1833,1809,16,8,989,597.38,70.65639629604185
engenius,783,781,2,0,486,0.0,369.70001203983924
engy,62,60,2,0,40,0.0,34.9356
enkei,100,96,3,1,72,1003.89,1003.8899999999999
enkor,1162,1145,14,3,661,440.43,90.88280681518269
enlightenbrick,368,351,11,6,300,5.82,0.97
enough,14083,13091,838,154,7151,940.2800000000001,6.114492109638414
envision,1688,1685,3,0,1013,0.0,130.99294015295538
enya,412,411,1,0,279,0.0,300.65099705270455
eolaboratorie,31,31,0,0,25,0.0,2.975757575757576
eos,133,121,9,3,80,64.35,21.833928571428572
epic,31,31,0,0,20,0.0,1250.4
epicgear,136,135,1,0,104,0.0,26.376033333333332
epiphone,659,646,9,4,417,1441.46,315.335702805691
epnew,85,79,6,0,52,0.0,5.745151515151515
epoch,304,297,6,1,144,20.82,21.847716741856747
epr,18738,18313,258,167,10724,63914.28,387.4225231070553
epson,234198,218253,11801,4144,66894,975660.87,289.5090601908401
era,31615,29947,1332,336,17554,3364.21,10.930939056652122
erbis,14177,13879,234,64,8991,3959.65,69.36113115179431
erdenet,1722,1703,0,19,1205,4792.94,252.26000000000002
ergo,45125,43610,1153,362,24380,97400.33,260.8876836230056
ergolux,1320,1249,61,10,628,16.7,4.537339108706039
erichkrause,8789,8623,129,37,5516,412.96,12.590752106648816
erik,141,137,3,1,114,57.11,39.0837845289631
erismann,3317,3219,75,23,1900,473.84999999999997,17.9830684210343
erisson,6768,6659,84,25,4090,901.0,36.04
erkaplan,19071,18795,202,74,10026,16645.44,207.3958069769601
erlit,80898,78756,1561,581,22207,187040.22,290.5576342929503
ermila,403,401,2,0,228,0.0,96.29158478250713
ersport,33453,31581,1367,505,15027,63836.4,125.75191959419219
esab,728,715,13,0,361,0.0,185.87418670628128
escada,10201,9918,208,75,3363,3572.66,59.69920001155153
escan,44839,44118,481,240,29271,11136.26,44.49054242904447
escentricmolecules,94,91,2,1,63,24.45,24.45
eskar,1484,1473,10,1,1119,15.6,21.98921863825672
esko,184,183,1,0,127,0.0,102.88183823529411
espiro,23,22,1,0,20,0.0,179.41411764705882
esse,949,921,15,13,455,715.73,76.50482098793235
essence,7059,6820,202,37,3358,139.10999999999999,3.678204484066747
estap,1096,1073,21,2,624,287.65999999999997,166.78139561256629
estel,2341,2251,77,13,1280,55.459999999999994,4.870694410040172
estelprofessional,73,72,1,0,51,0.0,4.64
esthetichouse,2737,2593,116,28,1352,261.84,9.593834442631666
estomoda,685,679,4,2,538,133.86,66.93
estrade,2154,2085,61,8,1250,42.98,4.838915836480979
esun,317,316,1,0,169,0.0,181.42813242476478
etalon,1754,1729,17,8,811,419.79999999999995,56.44933730107351
etaltech,253,253,0,0,188,0.0,408.3817389428263
etor,75495,73905,1131,459,33208,51360.69,108.07407184266607
etro,1005,1002,1,2,644,614.6800000000001,240.63931191922435
etude,456,429,20,7,283,80.14999999999999,11.45
euroboor,218,218,0,0,126,0.0,1110.745040572652
eurogold,816,767,40,9,511,69.3,7.7
eurol,1153,1107,38,8,588,252.25,27.769352336833542
eurolight,757,744,10,3,507,32.730000000000004,7.972763855740355
eurolux,67899,63920,3094,885,29000,74797.61,95.25692833299678
europrint,2502,2334,117,51,939,748.22,13.090105746076018
eurostek,105,96,9,0,67,0.0,25.71
eurosvet,1138,1131,7,0,663,0.0,75.30675279322301
eurotrading,683,671,9,3,533,270.27,52.86968278751307
evamosaic,630,608,14,8,395,36.379999999999995,5.276240760832974
eveline,148,146,1,1,97,4.89,4.701232149076977
evelinecosmetics,1050,1006,34,10,682,40.39,4.164790338729192
evenflo,2399,2331,55,13,1231,3616.2,264.2012292582176
everflo,720,696,19,5,456,135.15,59.941043771582564
everlast,2255,2200,44,11,1134,1120.99,111.36482635879005
evga,1619,1577,23,19,1001,16057.29,816.0156137313918
evgo,395,389,4,2,254,225.7,111.66608780933038
eviza,2347,2304,14,29,1624,3908.57,115.8319835627111
evo,4,4,0,0,2,0.0,399.17
evrika,506,498,6,2,317,1183.56,604.7170726673542
evriki,75,75,0,0,62,0.0,23.646894179894183
evrodetal,10991,10762,190,39,6238,8578.33,198.32307109608476
ewa,267,265,2,0,170,0.0,27.26600776429378
ewt,405,392,10,3,214,273.51,80.5018634207092
exclusive,246,226,12,8,120,411.84,51.48
exide,8811,8479,235,97,3865,10550.66,89.59244942579389
exnihilo,1405,1313,72,20,698,839.16,42.14124355325831
exogini,8,8,0,0,7,0.0,22.07
exost,521,516,4,1,352,127.42,105.39894740698425
expoprint,3,3,0,0,2,0.0,4.41
expression,72,72,0,0,41,0.0,14.31
expromt,401,401,0,0,276,0.0,6.372263216588289
ezetil,17718,17602,96,20,8988,3773.1099999999997,347.98347235080996
f-man,364,331,23,10,241,145.0,15.814166666666665
f-power,74,74,0,0,61,0.0,510.8639153439154
f-promo,221,217,3,1,145,40.41,33.386586527293844
faans,89,85,2,2,54,62.72,36.652
faber,462,460,2,0,297,0.0,202.25206802682914
fabretti,32859,32233,499,127,16512,2709.98,22.72701135788991
fabrikakarteks,111,106,5,0,70,0.0,32.037400000000005
fabrikakomiksov,107,107,0,0,84,0.0,8.472801282051282
fabrikamir,2852,2738,85,29,1538,5665.7300000000005,195.37
face,35,35,0,0,30,0.0,13.80265625
fagor,262,254,7,1,158,383.97,518.4287826086957
fais,6,6,0,0,3,0.0,85.46
falken,448,429,17,2,286,81.34,41.47435483870968
falmec,442,432,6,4,258,1593.02,386.07212573789843
fame,2,2,0,0,2,0.0,115.83
family,1208,1165,37,6,672,4429.34,712.9057803593904
fancy,24067,23525,466,76,16441,1423.37,17.08879360789832
fanline,3859,3802,36,21,1389,3437.89,183.46455947064058
fant-mebel,906,896,7,3,620,848.67,282.89
fantasia,2443,2395,37,11,1118,3058.68,332.1436947706485
fantom,272,264,7,1,146,77.2,77.2
fantom-press,14,14,0,0,14,0.0,11.336923076923076
fanzon,101,100,1,0,88,0.0,9.865758928571427
farcar,1620,1605,13,2,1096,965.28,451.2403692368107
farlajt,14,14,0,0,10,0.0,10.08
farmavita,2591,2548,26,17,1471,525.15,34.673724918691576
farmstay,4902,4663,202,37,2353,353.03,8.436386437873553
faro,186,181,4,1,139,20.0,20.0
farroad,26043,24298,1314,431,14785,24992.38,58.88695077586898
fassen,120889,117591,2268,1030,82984,47854.69,47.49852844947833
favourite,1293,1276,12,5,803,354.96,88.8304398175417
fea,559,543,12,4,369,184.44,45.085858772760496
febest,28802,28496,260,46,13414,913.76,20.29139013933218
federal,157,149,7,1,113,64.35,82.33292666666665
feile,4,4,0,0,4,0.0,85.33
felisatti,2152,2148,3,1,1287,231.11,245.8733427068849
femi,403,403,0,0,256,0.0,1365.7652482453364
fender,45403,44283,755,365,20699,100748.89,487.6907074187101
fendi,1618,1582,25,11,973,500.26,51.687450839984315
fengnix,2972,2862,81,29,1769,4404.2300000000005,151.87
feniks,2831,2763,50,18,2005,90.46,5.18132286958505
fenix,11230,11113,79,38,3997,5327.27,112.80407154181209
feron,1918,1835,67,16,929,36.92,2.3554430644102324
ferrari,3949,3789,117,43,2307,6296.610000000001,114.51782746106487
ferre,439,433,2,4,224,484.88000000000005,124.59339453219454
ferrino,10433,10314,83,36,5980,2499.68,239.87096291279178
festina,3378,3322,39,17,2416,1402.37,82.5137596707819
festool,7034,6935,63,36,3954,35801.229999999996,849.1357930072345
fibos,19,19,0,0,10,0.0,284.2183333333333
ficopro,1087,1049,25,13,820,518.7,39.9
fidan,86,86,0,0,63,0.0,32.56944444444444
fiesta,9541,9361,134,46,5248,7139.45,143.80673102436288
fiio,4186,4107,54,25,2019,2858.44,139.08714519757274
fila,94888,92901,1443,544,58928,51385.64,103.40591539399942
filly,19,18,1,0,15,0.0,9.350178571428572
filodoro,77,74,2,1,54,6.88,7.31543686138423
finezza,2361,2299,50,12,1311,242.21999999999997,21.08948141920794
fini,162,162,0,0,103,0.0,1644.425778860029
finish,3426,3315,75,36,1849,633.4,22.26686942287784
fipar,1,1,0,0,1,0.0,42.99
fireball,37,35,1,1,23,157.64,157.95479166666667
firepower,2458,2427,26,5,1688,37.18000000000001,7.757055042932452
firestone,8256,7540,495,221,4385,73643.91,270.39624760324483
firman,9316,9187,92,37,4021,12148.53,592.5489259937334
first,18528,18115,346,67,10910,1689.01,23.08999397978301
fischer,11575,11234,255,86,6030,13501.810000000001,121.85472843422369
fisher,8180,8028,91,61,3742,16891.85,291.1380477472454
fisher-price,11720,11360,247,113,7116,3767.56,33.819166881079
fisherman,4315,4270,27,18,2709,871.04,43.228686549946325
fisherprice,3073,3045,21,7,2401,225.38,40.169984477133866
fissler,970,967,3,0,490,0.0,359.8463369935502
fissman,13768,13572,146,50,7576,3702.09,79.26956667122575
fit,1107,1105,2,0,832,0.0,39.472598184222925
fit-rx,3617,3464,116,37,1748,651.53,16.330898344363867
fitaqua,44,44,0,0,25,0.0,669.26
fitbit,6540,6521,12,7,4251,1261.12,180.19276861458425
fitchbaby,5589,5490,74,25,3628,996.61,46.773041967012496
fitlux,13214,12921,228,65,7226,75609.89,1339.4048726376818
fitnessbody,370,336,24,10,215,41.370000000000005,3.8378692778092187
fitnex,4,4,0,0,3,0.0,1155.8433333333332
fitokosmetik,525,506,19,0,371,0.0,1.2856961172787786
fitrider,536,535,1,0,384,0.0,478.7412872046254
fitstudio,482,446,26,10,261,195.6,19.56
fitwell,593,582,0,11,330,1251.74,114.86236714975844
five,112,112,0,0,90,0.0,77.22
fivestars,14930,14385,428,117,8462,2742.75,23.69601258065022
fixsen,83,83,0,0,53,0.0,149.11124999999998
fizan,123,119,4,0,70,0.0,14.853762082184277
flama,67162,65112,1538,512,28576,76067.13,147.18795860284777
flambeau,5355,5297,42,16,3109,461.04,83.63817487448433
flashpoint,1259,1243,12,4,930,98.32,25.11590909090909
flavia,4970,4873,75,22,2424,7863.63,346.0659708349629
fleet,164,163,1,0,126,0.0,49.435295833333335
flex,3,3,0,0,1,0.0,394.43333333333334
flexter,1509,1481,15,13,1046,1253.55,99.72606903187364
fli,3133,3048,40,45,2078,6370.65,142.24116937937328
flicker,6,6,0,0,4,0.0,22.473333333333333
flight,30287,29091,855,341,13190,25998.89,74.54067956030381
floralis,171,169,2,0,123,0.0,1.8233391203703704
florentina,1725,1701,15,9,1050,1369.15,150.56556176081457
floresan,2634,2474,129,31,1600,112.69000000000001,3.8044538099739102
flormar,4140,3978,134,28,2169,188.24,6.108439386711799
flushforce,66,65,1,0,59,0.0,3.8699999999999997
fly,73043,70749,1574,720,39626,142679.84,242.34269094901512
flystep,4,4,0,0,3,0.0,89.58
focal,10833,10682,94,57,5760,8201.99,214.32635434709402
focushomeinteractive,524,518,5,1,428,51.46,51.46
foliant,39,38,1,0,29,0.0,8.206269841269842
foligain,373,355,12,6,248,169.14000000000001,28.19
fondital,1028,1025,3,0,638,0.0,2031.1443620423654
force,448787,433475,10613,4699,212914,709463.03,159.74722196981443
forcekraft,11095,10813,209,73,7584,6676.87,89.58205474929233
ford,392,382,5,5,232,306.18,66.46904594871795
forlux,2574,2382,124,68,974,5461.73,79.10694307090725
forminabanyo,116,116,0,0,65,0.0,202.60776190476187
formulazdorova,709,671,24,14,405,2699.2000000000003,192.8
fornelli,6205,6020,141,44,2762,13489.35,313.73921067827143
fornite,105,103,2,0,79,0.0,18.880526315789474
forsage,8269,8087,134,48,5651,6708.75,138.84476660840076
fortnite,1428,1414,12,2,872,111.14,46.17816453140394
forward,12573,12139,319,115,6429,10432.24,107.7950739266327
foryou,21,21,0,0,14,0.0,49.21142857142858
forza,6474,6375,76,23,3396,3842.21,195.52466599840042
fossil,52385,51512,591,282,21404,47734.31,179.45407224036387
fostex,799,798,1,0,564,0.0,198.4079516696041
fotomate,575,571,4,0,391,0.0,135.50417503657607
fotorama,1163,1132,22,9,808,268.87,32.082491523144824
fox,726,717,7,2,487,18.54,9.27
foxconn,124,122,1,1,83,172.85,109.22563888888888
foxx,71,71,0,0,41,0.0,222.53153846153845
fracescodonni,171,169,2,0,121,0.0,138.7406349224033
fractaldesign,540,532,6,2,343,289.27,171.77026908417625
fragonard,184,175,8,1,63,72.07,100.53685409529741
framesi,1956,1927,17,12,1203,383.27,32.591020875728056
francescodonni,5397,5174,175,48,2944,3940.95,90.6548538208102
franckolivier,256,253,2,1,141,21.08,26.20466305916306
franke,6997,6892,80,25,3466,4788.11,369.4681375162263
freedom,525,515,9,1,397,7.14,14.263532597032597
freefeet,225,224,1,0,187,0.0,385.84077717879603
freeway,1731,1700,23,8,1207,203.84,25.426053406084655
fresh,1234,1200,28,6,659,653.16,116.54855233809064
freshfruit,96,93,3,0,77,0.0,1.03
freya,593,582,7,4,415,132.86,45.42097800789592
frozen,2854,2792,49,13,1796,517.4,33.990268726572566
fsd,1089,1074,13,2,671,61.78,32.278721199499124
fubag,37152,36563,426,163,16390,50226.5,402.5544029071112
fuel,572,568,4,0,440,0.0,1496.0810761019284
fujida,6949,6749,130,70,3272,5796.54,82.47573858707888
fujifilm,45367,43857,1077,433,17893,54067.6,141.8828516373865
fundesk,102,102,0,0,91,0.0,215.73711111111112
funnyfood,3,3,0,0,3,0.0,6.41
funred,76,76,0,0,64,0.0,25.780000000000005
funville,1323,1302,12,9,910,191.71,22.864672329585662
furreal,264,259,3,2,182,115.32,58.172706422018344
furutech,32,32,0,0,22,0.0,200.78
futura,231,230,0,1,170,45.95,74.37487938833196
fxn,206,205,1,0,124,0.0,50.707499999999996
g-cube,1125,1093,24,8,852,124.45,17.61133408135557
g-stone,56,56,0,0,37,0.0,103.06733333333334
g.skill,914,881,21,12,500,1553.6,129.90507142407057
ga-de,10817,10439,268,110,4986,1794.8500000000001,16.600310407557387
gabolparadise,1073,1018,42,13,516,730.0,57.9691566071722
gabor,664,650,8,6,483,683.14,119.93577362801014
gabriella,62,62,0,0,42,0.0,106.17542857142857
gadkija,24,24,0,0,20,0.0,2.652156862745098
gaga,2677,2609,56,12,1623,172.49,22.69566013925931
gaint,652,629,18,5,327,2135.17,435.06354853041694
gainward,3789,3757,17,15,2166,6537.709999999999,478.7355518605559
gaissina,8584,8574,8,2,6766,30.84,35.1451149157047
galacticos,1577,1519,49,9,918,36.660000000000004,4.519866394059614
galantcosmetic,50,48,2,0,26,0.0,1.5400000000000003
galanz,9122,8652,278,192,5152,12644.24,66.43239502809173
galaxy,251314,243283,5913,2118,120041,55942.33,30.782714328488616
galtex,32,32,0,0,20,0.0,13.674907407407408
gamdias,2957,2875,64,18,1665,2163.9,134.7232287768113
gamemax,17111,16540,419,152,8710,25480.73,176.7841837842368
gamerstorm,167,161,5,1,116,103.73,96.7152807017544
gamma,20299,19001,892,406,10343,16672.15,44.30860828899752
gammapiu,12,12,0,0,7,0.0,64.14
garage,150,135,10,5,96,84.20000000000002,17.38419047619048
garant,515,512,0,3,315,10.41,4.018032797372826
garanterm,6036,5729,202,105,2783,9996.27,98.00624248625296
gardena,3346,3313,28,5,1657,1603.09,185.72069944197574
gardenlux,11,11,0,0,8,0.0,1919.4
garmin,282403,278132,3122,1149,103287,594337.99,785.8469421036167
garnier,10806,10424,295,87,5778,278.96,3.0813430542070335
garrett,31558,30632,637,289,11869,85082.7,548.8976975897191
garvalin,37681,37108,426,147,18954,9322.94,56.02746279818163
gaspari,38,38,0,0,28,0.0,25.74478260869565
gauss,1305,1259,38,8,659,50.68,6.394341515634921
gazpromneft,7025,6908,70,47,3462,530.9,11.862172262766984
gedore,1541,1526,13,2,1148,463.79999999999995,102.16475779741627
gefest,280732,273217,5692,1823,85175,351486.65,216.07280785886314
gehwol,3048,2962,64,22,1615,392.98,19.310092958823137
geil,45275,42899,1770,606,19398,34598.69,61.850452782754104
geitaran,1149,1136,10,3,864,405.41999999999996,114.56460712455171
gelflex,2534,2478,50,6,1364,100.38,16.73
gembird,10397,10227,153,17,6775,290.44,14.280032418757127
gemei,12171,11424,572,175,6095,4077.43,23.0355796405961
gemsy,742,709,24,9,376,5930.57,656.0846375837214
genau,31473,29914,926,633,13436,198148.61000000002,248.71671215015368
genebre,3809,3777,25,7,1758,916.21,172.01518592979536
generalelectric,137,136,1,0,103,0.0,1756.9037244897959
genesis,43918,40198,2551,1169,17564,60064.88,52.166488356768554
geneticlab,24,23,1,0,15,0.0,27.856
geneticlabnutrition,2187,2124,41,22,1082,321.3,16.023599133055473
genius,15149,14597,429,123,8347,2916.79,29.90057186986067
genki,1493,1388,72,33,803,489.83,13.552988529328259
genlog,3616,3610,4,2,2511,191.67000000000002,236.45144328289084
genny,37,37,0,0,34,0.0,118.15
gentrycup,204,198,5,1,137,4.12,4.12
geoffanderson,1225,1209,13,3,940,133.2,44.4
gerat,114875,113634,988,253,47608,12883.68,55.38150951887553
gerber,8184,7809,274,101,4933,357.92999999999995,44.888631807570796
gerbor,3774,3739,29,6,2701,929.75,152.2219244123094
gerdamix,960,942,14,4,516,335.65999999999997,80.99002117966221
gerkulesgames,10,10,0,0,5,0.0,27.336000000000002
geroivmaskah,15,15,0,0,15,0.0,14.925714285714287
gesso,1139,1099,32,8,564,479.73,63.09288779447811
gewa,18153,17251,673,229,9686,12673.779999999999,133.72492404947135
gezatone,17641,17254,271,116,7806,7126.59,77.5030730304829
gf,28674,27875,547,252,13823,173693.53,632.5760417233292
ghnfitness,1569,1518,41,10,789,4890.7,483.47757687802203
giant,40540,39870,469,201,15364,157298.47,1110.0296290660226
gid-ceramic,2,2,0,0,2,0.0,79.8
gigabyte,184189,178597,4035,1557,70282,353667.13,242.89909661802443
gigawatt,44384,41571,1974,839,17739,76366.70999999999,91.81284862820178
gigazone,1545,1501,38,6,946,51.78,8.305655367231637
gimi,9204,8789,310,105,5122,2562.25,26.799239752016472
ginzza,174,173,1,0,132,0.0,128.68
gionee,10913,10777,79,57,6320,5200.18,91.90179922058412
giorgioarmani,12384,11426,718,240,5366,13976.42,70.38532272718973
giornonotte,5174,5093,55,26,3068,17623.66,681.7479447701826
gioseppo,127,127,0,0,85,0.0,34.158707859848484
gipfel,59382,58745,498,139,28250,14890.77,102.82762549598783
gislaved,41146,37677,2569,900,21718,72992.7,80.6660103775594
gislawed,38,34,2,2,21,153.93,149.84579831932774
giti,22,22,0,0,16,0.0,90.09
gitzo,116,116,0,0,93,0.0,1749.8320714285715
givenchy,51505,49615,1378,512,24116,50790.51,106.91542047880866
gk,137,134,1,2,91,42.48,21.666103896103895
gkhair,9875,9622,141,112,4865,4942.96,45.95114388619627
gladen,1943,1881,56,6,1053,1121.0,267.51809563377793
gladiator,1,1,0,0,1,0.0,1065.2
glam-forever,178,178,0,0,140,0.0,23.66885546613011
glamglow,7763,7511,154,98,3753,3872.13,41.865902807152416
glamvers,4309,4205,76,28,2695,3900.75,144.92177145581633
glanzen,163,145,14,4,70,16.36,5.445225869427976
glasman,113175,109771,2497,907,49856,88395.02,114.38403578709794
glimmeies,289,287,2,0,226,0.0,13.541485656517915
glimmies,300,295,4,1,192,13.0,7.525582820629662
glo,5438,4948,404,86,1899,2522.64,31.028867046247978
global,3647,3555,81,11,2375,47.36,7.687980044934535
globalkeratin,542,525,13,4,342,252.24,61.12286075949367
globaltoys,276,267,6,3,145,33.41,13.587753058416991
globber,4689,4535,112,42,2461,3811.18,95.46224047568192
globex,929,913,13,3,630,142.49,49.01007040206075
globo,31,31,0,0,28,0.0,100.39
glory,335,334,1,0,232,0.0,69.42300287356322
gmslivgidromasao,239,238,1,0,151,0.0,1242.774680762736
gnu,88,87,1,0,54,0.0,463.07
go-sport,455,445,9,1,346,39.13,39.09680188566655
goalzero,1256,1254,1,1,835,53.36,162.49785603195497
godin,2,2,0,0,2,0.0,599.76
goform,9225,8670,410,145,4889,9660.26,65.52123394009425
goldenconcept,8166,8009,108,49,5794,5247.4,176.17298351767167
goldenrose,509,486,19,4,327,14.16,3.136638561810798
golf,119,119,0,0,91,0.0,12.3899609375
goliath,1215,1192,16,7,860,216.11,27.53120623219954
gomel,136,130,6,0,87,0.0,4.94
gomeldrev,326,323,2,1,256,2445.37,1135.4732037904723
gonher,3171,3098,62,11,1401,187.64000000000001,24.72489944266201
goo.n,3286,3031,197,58,1777,1002.41,15.635551804918684
goodbaby,49,49,0,0,39,0.0,236.81
goodgrill,535,533,1,1,415,45.82,48.44734360128061
goodhelper,2,2,0,0,2,0.0,19.1
goodloot,21274,20713,434,127,14299,1838.09,15.453782362049694
goodmax,2,2,0,0,2,0.0,1218.43
goodram,2550,2481,53,16,1467,495.24,45.273382528076965
goodride,66808,61509,4105,1194,33583,56482.12,49.93205821614911
goodyear,131355,122497,6430,2428,65589,283489.13,118.82083951091504
google,56307,55894,307,106,28072,74344.12,762.6276306291512
goon,12,12,0,0,9,0.0,17.74
gopro,50198,47784,1796,618,21633,269611.3,438.9178008789031
gorenje,253439,246660,5082,1697,111170,327973.27999999997,213.31595213411964
gorizont,279,274,4,1,182,133.05,200.95975
gornica,227,222,4,1,145,43.75,40.87294023221974
gosh,27595,26102,1058,435,13417,4564.05,13.363804789512491
gourmet,193,193,0,0,176,0.0,20.59
gr,18,18,0,0,14,0.0,288.3
gracecole,13607,13037,414,156,5402,1724.26,16.064169387484014
graco,2566,2528,30,8,1531,724.59,146.03247917252267
graf,6111,5912,160,39,4128,1899.6999999999998,34.57159735952573
graff,399,399,0,0,324,0.0,54.15082455043332
graffiti,3390,3344,34,12,1742,1042.57,91.46787182171697
graffitisound,352,324,18,10,237,695.0,55.2883845866068
grafit,6,6,0,0,6,0.0,27.169999999999998
gran-stone,13835,13489,243,103,4108,7305.34,72.57281834712197
granchio,13,12,1,0,9,0.0,14.786666666666669
grand,1,1,0,0,1,0.0,100.39
grandm,434,425,9,0,273,0.0,346.0913529546067
grandmanar,554,551,3,0,372,0.0,985.1
grandstil,1065,1046,16,3,666,35.38,16.870609974130815
grandvictory,388,385,2,1,248,37.34,28.23153138528139
granfest,301,300,1,0,147,0.0,113.15143292086441
granhel,113086,108454,3446,1186,48285,116827.45000000001,102.60446723669311
granicom,1992,1934,39,19,899,1041.44,61.932187360015426
grape,9951,9683,160,108,5382,4935.889999999999,43.657077139168436
graphite,4337,4303,22,12,2454,1016.5200000000001,93.32947118438412
graphiteleader,306,306,0,0,194,0.0,190.05814873417722
grattant,97,94,3,0,73,0.0,11.3
graude,15,15,0,0,13,0.0,546.2409090909091
gree,29646,28797,686,163,10499,49337.83,358.4347780518548
greenbike,3658,3651,4,3,2465,3448.2599999999998,1159.9382666737542
greenland,1113,1075,31,7,700,41.93,9.068566928418758
greenpan,4245,4212,26,7,2632,435.41,88.03346499263523
greenpro,1784,1757,20,7,667,334.14,62.12516640953803
